comparison_mode,comparison_label,min_rounds,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,5,STEAM_0:1:19081858,CurtWild.es,16,1428.3125,8580.1875,1.6436781609195403,44.6875,27.1875,14.270994654543637,37,1609.7297297297298,8689.324324324325,1.4866071428571428,45.0,30.27027027027027,15.62987941689738,-56.75675675675676,-11.270042813969111,-1.2559874652027267,10.56573815194506,-0.6944444444444444,-10.184151785714286,-8.694147447386314
equal_time,Equal Time,5,STEAM_0:1:160553225,Emilio!.ar,11,1435.7272727272727,5734.272727272727,1.2654545454545454,31.636363636363637,25.0,20.0240902751363,7,1504.857142857143,6226.0,1.1576086956521738,30.428571428571427,26.285714285714285,19.46559243107399,57.142857142857146,-4.593782902117819,-7.897964547498762,9.31626120358515,3.9692701664532715,-4.891304347826083,2.869154103785448
equal_time,Equal Time,5,STEAM_0:1:68678,dexterity,12,1301.75,7015.833333333333,1.074935400516796,34.666666666666664,32.25,15.650579595435373,13,1359.076923076923,7802.307692307692,1.0780287474332648,40.38461538461539,37.46153846153846,14.834841894910074,-7.6923076923076925,-4.218077880914649,-10.080022347103098,-0.28694475206101966,-14.15873015873017,-13.911704312114985,5.498796052590107
equal_time,Equal Time,5,STEAM_0:1:77878,exr8ed-VD,24,1177.25,6336.416666666667,0.9523121387283237,27.458333333333332,28.833333333333332,15.668115877733907,19,1217.157894736842,6127.315789473684,1.0508130081300813,27.210526315789473,25.894736842105264,16.57243183202551,26.31578947368421,-3.2787771339617726,3.4126016085576008,-9.373777126821036,0.9107027724048998,11.348238482384817,-5.456748674289628
equal_time,Equal Time,5,STEAM_0:1:17947198,brakinh0 AF,5,1836.0,6151.2,0.9595375722543352,33.2,34.6,22.986778846153847,7,1845.7142857142858,7355.0,0.9683794466403162,35.0,36.142857142857146,20.06055430479,-28.571428571428573,-0.5263157894736877,-16.367097212780422,-0.9130588651645626,-5.142857142857134,-4.268774703557316,14.586957553137664
equal_time,Equal Time,5,STEAM_0:0:18619424,rufi0,34,1695.3529411764705,8529.264705882353,1.2360992301112061,42.5,34.38235294117647,16.581088894450247,24,1683.5833333333333,8840.208333333334,1.4433833560709413,44.083333333333336,30.541666666666668,15.997877824453322,41.666666666666664,0.6990808004635294,-3.5173789545040597,-14.360989066964635,-3.5916824196597403,12.575234732364976,3.645552718907913
equal_time,Equal Time,5,STEAM_0:1:57115,hello? RALPH TRESVANT pls,5,1500.0,8840.8,1.4746835443037976,46.6,31.6,14.505647532105833,16,1482.4375,8572.375,1.441908713692946,43.4375,30.125,14.743561851600912,-68.75,1.184704245541549,3.131279254582298,2.2730170294144503,7.280575539568348,4.89626556016598,-1.6136827849997835
equal_time,Equal Time,5,STEAM_0:0:661896,[A*C*M]Moreno,18,1306.4444444444443,8217.5,1.2634228187919463,41.833333333333336,33.111111111111114,13.717472335808576,14,1183.4285714285713,8516.285714285714,1.4574209245742094,42.785714285714285,29.357142857142858,12.20065392205956,28.571428571428573,10.394870969472612,-3.50840406615895,-13.311055338315546,-2.2259321090706656,12.787239794539072,12.432271445766622
equal_time,Equal Time,5,STEAM_0:1:1037349,drkz,8,1591.75,9060.25,1.3082706766917294,43.5,33.25,14.943203154337214,9,1423.111111111111,10020.333333333334,1.476027397260274,47.888888888888886,32.44444444444444,12.43603810041654,-11.11111111111111,11.850015615240476,-9.58135125245335,-11.365420511836433,-9.164733178654286,2.482876712328772,20.160480642437854
equal_time,Equal Time,10,STEAM_0:1:1058823,spek,20,953.25,7859.9,1.4608378870673953,40.1,27.45,10.816223484225278,12,1726.6666666666667,8236.333333333334,1.3044692737430168,38.916666666666664,29.833333333333332,17.330790591856537,66.66666666666667,-44.79247104247104,-4.570399449593277,11.98714423343201,3.0406852248394105,-7.988826815642457,-37.58955526640747
