comparison_mode,comparison_label,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,STEAM_0:1:1058823,spek,20,953.25,7859.9,1.4608378870673953,40.1,27.45,10.816223484225278,12,1726.6666666666667,8236.333333333334,1.3044692737430168,38.916666666666664,29.833333333333332,17.330790591856537,66.66666666666667,-44.79247104247104,-4.570399449593277,11.98714423343201,3.0406852248394105,-7.988826815642457,-37.58955526640747
equal_time,Equal Time,STEAM_0:1:68678,dexterity,12,1301.75,7015.833333333333,1.074935400516796,34.666666666666664,32.25,15.650579595435373,13,1359.076923076923,7802.307692307692,1.0780287474332648,40.38461538461539,37.46153846153846,14.834841894910074,-7.6923076923076925,-4.218077880914649,-10.080022347103098,-0.28694475206101966,-14.15873015873017,-13.911704312114985,5.498796052590107
equal_time,Equal Time,STEAM_0:1:86025,grens,10,1198.8,8478.9,1.7877551020408162,43.8,24.5,12.38724077001767,4,1304.75,8713.25,2.0707070707070705,51.25,24.75,13.024056697943701,150.0,-8.12032956505078,-2.6895819585114666,-13.66450970632155,-14.536585365853663,-1.0101010101010102,-4.889535900335684
equal_time,Equal Time,STEAM_0:0:661896,[A*C*M]Moreno,18,1306.4444444444443,8217.5,1.2634228187919463,41.833333333333336,33.111111111111114,13.717472335808576,14,1183.4285714285713,8516.285714285714,1.4574209245742094,42.785714285714285,29.357142857142858,12.20065392205956,28.571428571428573,10.394870969472612,-3.50840406615895,-13.311055338315546,-2.2259321090706656,12.787239794539072,12.432271445766622
equal_time,Equal Time,STEAM_0:1:476754,m3d^,3,1266.6666666666667,6320.0,1.076086956521739,33.0,30.666666666666668,16.695957820738137,1,1208.0,7021.0,1.206896551724138,35.0,29.0,14.679790983108518,200.0,4.856512141280359,-9.984332716137303,-10.838509316770192,-5.714285714285714,5.747126436781614,13.734302075210378
equal_time,Equal Time,STEAM_0:1:69020,rk,1,903.0,9551.0,1.3870967741935485,43.0,31.0,8.63784197436388,1,1561.0,8953.0,1.5185185185185186,41.0,27.0,14.846870838881491,0.0,-42.152466367713004,6.679325365799174,-8.654602675059007,4.878048780487805,14.814814814814815,-41.82045450450875
equal_time,Equal Time,STEAM_0:1:104939,. N a z,9,1270.7777777777778,8392.666666666666,1.3795620437956204,42.0,30.444444444444443,13.15036046498258,3,1170.6666666666667,8596.0,1.1770833333333333,37.666666666666664,32.0,11.986348122866895,200.0,8.551632498101744,-2.365441290522731,17.201731154318203,11.50442477876107,-4.861111111111116,9.711150804097255
equal_time,Equal Time,STEAM_0:0:98260,ricky,3,1299.3333333333333,6969.0,1.1235955056179776,33.333333333333336,29.666666666666668,15.714573674662367,1,1112.0,10878.0,1.21875,39.0,32.0,9.274395329441202,200.0,16.846522781774574,-35.93491450634308,-7.807548256986452,-14.529914529914523,-7.2916666666666625,69.44041219352677
equal_time,Equal Time,STEAM_0:1:77878,exr8ed-VD,24,1177.25,6336.416666666667,0.9523121387283237,27.458333333333332,28.833333333333332,15.668115877733907,19,1217.157894736842,6127.315789473684,1.0508130081300813,27.210526315789473,25.894736842105264,16.57243183202551,26.31578947368421,-3.2787771339617726,3.4126016085576008,-9.373777126821036,0.9107027724048998,11.348238482384817,-5.456748674289628
equal_time,Equal Time,STEAM_0:0:6409859,NOOKIE,9,1060.4444444444443,6162.0,0.9790209790209791,31.11111111111111,31.77777777777778,14.682625149995385,6,1308.8333333333333,7288.5,0.9502487562189055,31.833333333333332,33.5,15.223712779156328,50.0,-18.977885309223655,-15.455855114221032,3.0278621901658593,-2.2687609075043604,-5.140961857379765,-3.554242233877255
