comparison_mode,comparison_label,map_name,post_soldier_rounds,post_damage_per_round,post_team_damage_per_round,post_kills_per_round,post_deaths_per_round,post_kd,post_friendly_damage_pct,pre_soldier_rounds,pre_damage_per_round,pre_team_damage_per_round,pre_kills_per_round,pre_deaths_per_round,pre_kd,pre_friendly_damage_pct,soldier_rounds_pct_change,damage_per_round_pct_change,team_damage_per_round_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,kd_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,voltage_lg,4,7074.75,1318.25,36.25,29.25,1.2393162393162394,15.70654116525676,4,7142.5,1012.0,31.25,26.5,1.179245283018868,12.410325587099148,0.0,-0.9485474273713685,30.261857707509883,16.0,10.377358490566039,5.094017094017091,26.560266731310524
equal_match_count,Equal Match Count,waterwar_lg,2,6360.5,669.0,30.0,25.0,1.2,9.517035351020699,5,7427.4,1645.6,38.8,28.2,1.375886524822695,18.137330541166097,-60.0,-14.36438053693082,-59.34613514827418,-22.680412371134015,-11.347517730496453,-12.783505154639178,-47.527915811976904
equal_match_count,Equal Match Count,schtop,32,7218.34375,1309.09375,36.90625,35.625,1.0359649122807018,15.351549043895075,35,7624.085714285714,1997.9714285714285,40.714285714285715,37.31428571428572,1.0911179173047474,20.764493485206607,-8.571428571428571,-5.321844211764966,-34.47885533898668,-9.3530701754386,-4.527182235834616,-5.054724530624814,-26.06827103761483
equal_match_count,Equal Match Count,blutopia_tfp,10,6736.5,1632.4,34.7,34.8,0.9971264367816092,19.50555031127149,10,7727.4,2121.6,42.8,31.8,1.3459119496855345,21.541273225708192,0.0,-12.823200559049612,-23.058069381598788,-18.9252336448598,9.433962264150933,-25.91443764099259,-9.450337002397749
equal_match_count,Equal Match Count,castra_b6,26,7507.961538461538,1282.4615384615386,36.73076923076923,32.73076923076923,1.1222091656874265,14.589303919037764,27,7721.074074074074,1727.5555555555557,39.111111111111114,32.96296296296296,1.1865168539325843,18.283662533857544,-3.7037037037037037,-2.7601410576817016,-25.76438226039461,-6.086101398601399,-0.7044079515989514,-5.419871452480161,-20.205790869190434
equal_match_count,Equal Match Count,snow_gutter,6,7959.5,1217.8333333333333,37.666666666666664,32.833333333333336,1.1472081218274113,13.270013075693738,10,8139.4,1653.9,39.4,32.6,1.2085889570552146,16.888076542125738,-40.0,-2.210236626778382,-26.36596327871497,-4.399323181049072,0.7157464212678966,-5.078718853874085,-21.423774681545748
equal_match_count,Equal Match Count,phantom_lg,34,7727.14705882353,1352.0,37.588235294117645,32.11764705882353,1.1703296703296704,14.891266671201945,36,8291.166666666666,1723.1666666666667,40.138888888888886,32.583333333333336,1.2318840579710144,17.20700329527677,-5.555555555555555,-6.802656737207909,-21.539800754424995,-6.3545695094646835,-1.4292161877538825,-4.996767937944397,-13.458105309426436
equal_match_count,Equal Match Count,stormz2_lg,21,9188.095238095239,1104.3333333333333,39.57142857142857,37.23809523809524,1.0626598465473145,10.72957004918086,28,9249.607142857143,1332.642857142857,39.07142857142857,35.92857142857143,1.0874751491053678,12.59319007907446,-25.0,-0.6650218091630642,-17.132086258955535,1.2797074954296161,3.6447978793903264,-2.281919046928851,-14.798633374003426
equal_match_count,Equal Match Count,demolish2_b6,43,7732.790697674419,1284.3953488372092,38.48837209302326,32.674418604651166,1.1779359430604983,14.243859916077568,37,8012.216216216216,1501.3513513513512,39.567567567567565,32.648648648648646,1.2119205298013245,15.781160334316283,16.216216216216218,-3.4874934849643404,-14.450714838925752,-2.72747490151225,0.07893115663023569,-2.8041926764288254,-9.74136492926848
equal_match_count,Equal Match Count,siege,33,7392.242424242424,925.939393939394,35.72727272727273,25.272727272727273,1.4136690647482015,11.13151183970856,32,7559.25,1123.25,35.75,23.15625,1.543859649122807,12.936942124964007,3.125,-2.2093140954139097,-17.56604549838469,-0.06357279084551992,9.139982824193353,-8.432799215173304,-13.955618474721051
equal_match_count,Equal Match Count,openfire_lowgrens,32,7371.46875,1389.21875,36.6875,32.65625,1.123444976076555,15.857417012078104,39,7633.282051282052,1549.5128205128206,38.84615384615385,30.53846153846154,1.2720403022670026,16.87408727022944,-17.94871794871795,-3.429891618351489,-10.344804405023913,-5.556930693069308,6.934823677581858,-11.681652375763896,-6.025038521313242
